GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dropofgold,br.com.tavernadovale.tavernadovale.model,Funcionario,31,7,0,0,13,3,9,2,9,2
dropofgold,br.com.tavernadovale.tavernadovale.model,Produto,28,3,0,0,12,1,8,1,8,1
dropofgold,br.com.tavernadovale.tavernadovale.model,ProdutosVenda,28,3,0,0,12,1,8,1,8,1
dropofgold,br.com.tavernadovale.tavernadovale.model,Estoque,7,31,0,0,3,13,2,9,2,9
dropofgold,br.com.tavernadovale.tavernadovale.model,Venda,14,24,0,0,6,10,4,7,4,7
dropofgold,br.com.tavernadovale.tavernadovale.exceptions,TipoInvalidoException,8,0,0,0,4,0,2,0,2,0
dropofgold,br.com.tavernadovale.tavernadovale.exceptions,GlobalExceptionHandler,33,3,0,0,6,1,1,1,1,1
dropofgold,br.com.tavernadovale.tavernadovale.service,ProdutoService,79,6,2,0,20,3,7,1,6,1
dropofgold,br.com.tavernadovale.tavernadovale.service,VendaService,3,78,1,1,1,20,1,7,0,7
dropofgold,br.com.tavernadovale.tavernadovale.service,FuncionarioService,68,17,1,1,16,6,6,2,5,2
dropofgold,br.com.tavernadovale.tavernadovale.service,EstoqueService,0,85,0,2,0,22,0,8,0,7
dropofgold,br.com.tavernadovale.tavernadovale.controller,EstoqueController,25,3,0,0,5,1,5,1,5,1
dropofgold,br.com.tavernadovale.tavernadovale.controller,VendaController,25,3,0,0,5,1,5,1,5,1
dropofgold,br.com.tavernadovale.tavernadovale.controller,FuncionarioController,25,3,0,0,5,1,5,1,5,1
dropofgold,br.com.tavernadovale.tavernadovale.controller,ProdutoController,25,3,0,0,5,2,5,1,5,1
dropofgold,br.com.tavernadovale.tavernadovale,tavernadovaleApplication,5,3,0,0,2,1,1,1,1,1
